row_id,height_orig,social_media_use,age
135,506.0,6.0,
136,601.0,8.0,
137,509.0,6.0,
138,501.0,6.0,
139,601.0,8.0,
140,603.0,6.0,
141,503.0,8.0,
142,405.0,8.0,
143,602.0,8.0,
144,600.0,6.0,
145,503.0,1.0,
146,601.0,4.0,
147,507.0,1.0,
148,604.0,8.0,
149,601.0,8.0,
150,508.0,8.0,
151,511.0,6.0,
152,505.0,6.0,
153,600.0,2.0,
154,511.0,6.0,
155,503.0,7.0,
156,604.0,4.0,
157,602.0,6.0,
158,411.0,6.0,
159,511.0,8.0,
160,506.0,8.0,
161,411.0,8.0,
162,510.0,6.0,
163,510.0,3.0,
164,502.0,6.0,
165,502.0,4.0,
166,505.0,4.0,
167,503.0,8.0,
168,507.0,8.0,
169,602.0,8.0,
170,507.0,6.0,
171,510.0,,
172,508.0,8.0,
173,,8.0,
174,604.0,8.0,
175,,1.0,
176,600.0,1.0,
177,507.0,6.0,
178,503.0,8.0,
179,503.0,8.0,
180,411.0,8.0,
181,507.0,8.0,
182,504.0,8.0,
183,506.0,6.0,
184,403.0,8.0,
185,511.0,6.0,
186,600.0,6.0,
187,604.0,6.0,
188,510.0,8.0,
189,503.0,6.0,
190,411.0,7.0,
191,506.0,5.0,
192,409.0,8.0,
193,504.0,8.0,
194,506.0,6.0,
195,600.0,,
196,411.0,8.0,
197,509.0,8.0,
198,601.0,8.0,
199,600.0,6.0,
200,503.0,2.0,
201,403.0,4.0,
202,503.0,8.0,
203,506.0,3.0,
204,501.0,6.0,
205,506.0,8.0,
206,502.0,8.0,
207,508.0,1.0,
208,504.0,8.0,
209,508.0,6.0,
210,707.0,,
211,508.0,8.0,
212,509.0,8.0,
213,601.0,6.0,
214,508.0,8.0,
215,507.0,4.0,
216,503.0,,
217,510.0,1.0,
218,501.0,6.0,
219,509.0,6.0,
220,504.0,6.0,
221,601.0,5.0,
222,506.0,8.0,
223,505.0,6.0,
224,511.0,2.0,
225,509.0,6.0,
226,400.0,8.0,
227,509.0,1.0,
228,601.0,1.0,
229,510.0,6.0,
230,704.0,,
231,508.0,6.0,
232,511.0,8.0,
233,511.0,8.0,
234,609.0,8.0,
235,502.0,8.0,
236,405.0,2.0,
237,601.0,6.0,
238,505.0,6.0,
239,507.0,8.0,
240,502.0,8.0,
241,505.0,1.0,
242,509.0,8.0,
243,504.0,8.0,
244,510.0,8.0,
245,504.0,1.0,
246,604.0,2.0,
247,600.0,8.0,
248,507.0,8.0,
249,505.0,6.0,
250,603.0,1.0,
251,507.0,6.0,
252,505.0,6.0,
253,601.0,8.0,
254,501.0,6.0,
255,502.0,8.0,
256,509.0,8.0,
257,508.0,6.0,
258,505.0,2.0,
259,509.0,8.0,
260,504.0,6.0,
261,506.0,8.0,
262,500.0,6.0,
263,500.0,6.0,
264,500.0,6.0,
265,509.0,8.0,
266,502.0,2.0,
267,509.0,8.0,
268,505.0,6.0,
269,510.0,3.0,
270,509.0,5.0,
271,510.0,8.0,
272,601.0,6.0,
273,506.0,8.0,
274,507.0,8.0,
275,501.0,8.0,
276,600.0,7.0,
277,605.0,8.0,
278,507.0,7.0,
279,505.0,6.0,
280,,6.0,
281,510.0,6.0,
282,506.0,1.0,
283,509.0,6.0,
284,505.0,1.0,
285,509.0,6.0,
286,506.0,8.0,
287,502.0,1.0,
288,504.0,8.0,
289,503.0,8.0,
290,504.0,5.0,
291,501.0,3.0,
292,603.0,4.0,
293,509.0,5.0,
294,505.0,6.0,
295,510.0,1.0,
296,,8.0,
297,405.0,,
298,506.0,8.0,
299,508.0,,
300,302.0,3.0,
301,505.0,6.0,
302,501.0,5.0,
303,503.0,5.0,
304,511.0,4.0,
305,502.0,6.0,
306,506.0,6.0,
307,502.0,6.0,
308,602.0,8.0,
309,508.0,8.0,
310,510.0,,
311,510.0,8.0,
312,409.0,8.0,
313,502.0,6.0,
314,508.0,8.0,
315,507.0,8.0,
316,509.0,2.0,
317,510.0,6.0,
318,504.0,6.0,
319,504.0,8.0,
320,506.0,6.0,
321,504.0,6.0,
322,502.0,1.0,
323,507.0,5.0,
324,502.0,6.0,
325,504.0,5.0,
326,504.0,6.0,
327,505.0,6.0,
328,506.0,8.0,
329,507.0,6.0,
330,507.0,8.0,
331,504.0,4.0,
332,505.0,7.0,
333,500.0,1.0,
334,503.0,8.0,
335,504.0,,
336,,2.0,
337,505.0,8.0,
338,507.0,5.0,
339,506.0,8.0,
340,508.0,6.0,
341,511.0,8.0,
342,511.0,6.0,
343,503.0,6.0,
344,502.0,8.0,
345,505.0,6.0,
346,502.0,6.0,
347,500.0,6.0,
348,503.0,6.0,
349,503.0,,
350,500.0,8.0,
351,511.0,6.0,
352,511.0,,
353,505.0,4.0,
354,601.0,8.0,
355,600.0,6.0,
356,502.0,4.0,
357,508.0,7.0,
358,707.0,8.0,
359,503.0,6.0,
360,504.0,6.0,
361,,6.0,
362,506.0,8.0,
363,600.0,8.0,
364,504.0,,
365,510.0,8.0,
366,,,
367,705.0,6.0,
368,503.0,8.0,
369,504.0,8.0,
370,708.0,8.0,
371,505.0,8.0,
372,510.0,5.0,
373,503.0,8.0,
374,504.0,8.0,
375,507.0,6.0,
376,506.0,6.0,
377,503.0,6.0,
378,510.0,8.0,
379,600.0,1.0,
380,508.0,6.0,
381,505.0,,
382,508.0,6.0,
383,506.0,2.0,
384,506.0,6.0,
385,509.0,4.0,
386,511.0,8.0,
387,503.0,8.0,
388,508.0,8.0,
389,505.0,6.0,
390,500.0,2.0,
391,500.0,1.0,
392,504.0,8.0,
393,510.0,6.0,
394,600.0,6.0,
395,505.0,6.0,
396,501.0,8.0,
397,507.0,6.0,
398,601.0,8.0,
399,411.0,8.0,
400,603.0,4.0,
401,506.0,8.0,
402,505.0,8.0,
403,502.0,6.0,
404,502.0,8.0,
405,510.0,8.0,
406,501.0,8.0,
407,505.0,8.0,
408,511.0,8.0,
409,503.0,7.0,
410,507.0,7.0,
411,508.0,1.0,
412,503.0,6.0,
413,504.0,2.0,
414,500.0,6.0,
415,505.0,6.0,
416,504.0,6.0,
417,506.0,5.0,
418,504.0,8.0,
419,505.0,3.0,
420,511.0,6.0,
421,509.0,7.0,
422,506.0,8.0,
423,507.0,6.0,
424,508.0,6.0,
425,511.0,6.0,
426,508.0,8.0,
427,510.0,6.0,
428,511.0,8.0,
429,508.0,6.0,
430,511.0,6.0,
431,504.0,8.0,
432,509.0,6.0,
433,508.0,8.0,
434,505.0,5.0,
435,602.0,6.0,
436,508.0,7.0,
437,511.0,6.0,
438,600.0,6.0,
439,600.0,6.0,
440,504.0,1.0,
441,507.0,6.0,
442,603.0,6.0,
443,510.0,2.0,
444,506.0,6.0,
445,600.0,6.0,
446,601.0,6.0,
447,504.0,8.0,
448,603.0,8.0,
449,510.0,1.0,
450,510.0,8.0,
451,509.0,1.0,
452,506.0,6.0,
453,509.0,7.0,
454,506.0,6.0,
455,505.0,4.0,
456,510.0,7.0,
457,506.0,6.0,
458,510.0,6.0,
459,508.0,1.0,
460,504.0,8.0,
461,600.0,8.0,
462,605.0,6.0,
463,603.0,8.0,
464,602.0,1.0,
465,600.0,4.0,
466,606.0,8.0,
467,510.0,6.0,
468,504.0,4.0,
469,506.0,8.0,
470,507.0,6.0,
471,508.0,6.0,
472,510.0,6.0,
473,502.0,6.0,
474,510.0,8.0,
475,509.0,6.0,
476,601.0,4.0,
477,505.0,6.0,
478,600.0,6.0,
479,510.0,8.0,
480,511.0,8.0,
481,602.0,5.0,
482,504.0,8.0,
483,511.0,6.0,
484,509.0,,
485,507.0,6.0,
486,511.0,6.0,
487,600.0,7.0,
488,600.0,6.0,
489,509.0,6.0,
490,500.0,8.0,
491,511.0,6.0,
492,510.0,,
493,409.0,8.0,
494,503.0,8.0,
495,505.0,6.0,
496,503.0,7.0,
497,502.0,6.0,
498,505.0,6.0,
499,506.0,6.0,
500,508.0,2.0,
501,601.0,1.0,
502,511.0,7.0,
503,509.0,8.0,
504,511.0,8.0,
505,503.0,8.0,
506,505.0,8.0,
507,507.0,6.0,
508,506.0,6.0,
509,600.0,6.0,
510,501.0,2.0,
511,603.0,7.0,
512,508.0,8.0,
513,502.0,1.0,
514,507.0,6.0,
515,507.0,6.0,
516,507.0,1.0,
517,501.0,6.0,
518,505.0,6.0,
519,503.0,6.0,
520,601.0,6.0,
521,508.0,7.0,
522,508.0,1.0,
523,502.0,4.0,
524,711.0,5.0,
525,511.0,5.0,
526,504.0,8.0,
527,508.0,,
528,506.0,4.0,
529,501.0,1.0,
530,503.0,6.0,
531,509.0,5.0,
532,704.0,4.0,
533,507.0,8.0,
534,506.0,8.0,
535,507.0,8.0,
536,504.0,8.0,
537,608.0,5.0,
538,505.0,,
539,510.0,7.0,
540,700.0,,
541,501.0,8.0,
542,504.0,8.0,
543,506.0,1.0,
544,502.0,8.0,
545,502.0,6.0,
546,505.0,8.0,
547,602.0,6.0,
548,509.0,,
549,502.0,6.0,
550,,8.0,
551,507.0,,
552,502.0,5.0,
553,502.0,8.0,
554,507.0,6.0,
555,504.0,,
556,505.0,6.0,
557,508.0,4.0,
558,502.0,8.0,
559,508.0,8.0,
560,411.0,7.0,
561,500.0,,
562,507.0,8.0,
563,411.0,8.0,
564,507.0,,
565,601.0,8.0,
566,506.0,7.0,
567,509.0,6.0,
568,510.0,6.0,
569,502.0,6.0,
570,601.0,6.0,
571,508.0,8.0,
572,509.0,,
573,505.0,6.0,
574,507.0,4.0,
575,602.0,7.0,
576,500.0,6.0,
577,706.0,1.0,
578,506.0,8.0,
579,604.0,5.0,
580,604.0,6.0,
581,504.0,1.0,
582,503.0,6.0,
583,500.0,6.0,
584,509.0,8.0,
585,511.0,6.0,
586,504.0,6.0,
587,505.0,4.0,
588,510.0,,
589,503.0,8.0,
590,510.0,6.0,
591,507.0,6.0,
592,504.0,7.0,
593,501.0,7.0,
594,506.0,8.0,
595,511.0,2.0,
596,508.0,8.0,
597,503.0,,
598,509.0,8.0,5.0
599,505.0,6.0,
600,502.0,6.0,
601,503.0,6.0,
602,505.0,8.0,
603,511.0,,
604,,1.0,
605,504.0,8.0,
606,502.0,8.0,
607,509.0,6.0,
608,503.0,8.0,
609,505.0,7.0,
610,504.0,6.0,
611,506.0,8.0,
612,508.0,,
613,503.0,8.0,
614,504.0,6.0,
615,511.0,6.0,
616,500.0,8.0,
617,508.0,8.0,
618,409.0,7.0,
619,508.0,8.0,
620,710.0,7.0,
621,506.0,6.0,
622,502.0,1.0,
623,505.0,7.0,
624,505.0,6.0,
625,509.0,6.0,
626,504.0,1.0,
627,502.0,8.0,
628,510.0,8.0,
629,509.0,6.0,
630,506.0,8.0,
631,600.0,7.0,
632,507.0,,
633,600.0,4.0,
634,601.0,6.0,
635,502.0,6.0,
636,411.0,8.0,
637,603.0,2.0,
638,503.0,4.0,
639,504.0,8.0,
640,506.0,,
641,506.0,6.0,
642,506.0,8.0,
643,600.0,8.0,
644,507.0,6.0,
645,508.0,6.0,
646,509.0,7.0,
647,507.0,1.0,
648,603.0,1.0,
649,508.0,8.0,
650,503.0,,
651,508.0,6.0,
652,502.0,,
653,503.0,8.0,
654,503.0,6.0,
655,501.0,7.0,
656,509.0,4.0,
657,508.0,7.0,
658,502.0,6.0,
659,600.0,7.0,
660,508.0,8.0,
661,601.0,,
662,500.0,6.0,
663,503.0,6.0,
664,508.0,,
665,411.0,6.0,
666,508.0,8.0,
667,502.0,8.0,
668,510.0,6.0,
669,502.0,8.0,
670,510.0,8.0,
671,509.0,6.0,
672,510.0,6.0,
673,501.0,8.0,
674,503.0,8.0,
675,509.0,6.0,
676,605.0,6.0,
677,511.0,7.0,
678,506.0,,
679,503.0,4.0,
680,600.0,6.0,
681,505.0,8.0,
682,506.0,7.0,
683,501.0,6.0,
684,503.0,6.0,
685,511.0,6.0,
686,510.0,8.0,
687,,8.0,
688,510.0,7.0,
689,504.0,7.0,
690,504.0,8.0,
691,600.0,7.0,
692,510.0,6.0,
693,509.0,8.0,
694,506.0,6.0,
695,504.0,8.0,
696,509.0,8.0,
697,509.0,6.0,
698,,6.0,
699,504.0,8.0,
700,504.0,6.0,
701,500.0,8.0,
702,411.0,7.0,
703,411.0,8.0,
704,603.0,8.0,
705,411.0,8.0,
706,503.0,8.0,
707,502.0,8.0,
708,601.0,3.0,
709,602.0,8.0,
710,507.0,7.0,
711,507.0,6.0,
712,511.0,8.0,
713,509.0,6.0,
714,509.0,8.0,
715,600.0,6.0,
716,509.0,1.0,
717,507.0,8.0,
718,505.0,6.0,
719,508.0,8.0,
720,505.0,6.0,
721,507.0,,
722,506.0,8.0,
723,506.0,8.0,
724,610.0,2.0,
725,504.0,4.0,
726,505.0,8.0,
727,508.0,8.0,
728,504.0,8.0,
729,510.0,6.0,
730,507.0,8.0,
731,505.0,6.0,
732,603.0,8.0,
733,511.0,8.0,
734,507.0,8.0,
735,505.0,6.0,
736,504.0,8.0,
737,511.0,7.0,
738,600.0,6.0,
739,510.0,6.0,
740,,2.0,
741,503.0,6.0,
742,506.0,8.0,
743,510.0,6.0,
744,606.0,,
745,511.0,6.0,
746,503.0,6.0,
747,504.0,6.0,
748,507.0,6.0,
749,508.0,8.0,
750,506.0,6.0,
751,506.0,6.0,
752,504.0,8.0,
753,506.0,8.0,
754,505.0,4.0,
755,506.0,8.0,
756,506.0,8.0,
757,,8.0,
758,506.0,6.0,
759,504.0,6.0,
760,,8.0,
761,511.0,8.0,
762,504.0,5.0,
763,602.0,1.0,
764,600.0,1.0,
765,506.0,8.0,
766,509.0,8.0,
767,509.0,8.0,
768,411.0,5.0,
769,503.0,8.0,
770,508.0,8.0,
771,504.0,8.0,
772,511.0,8.0,
773,600.0,,
774,510.0,6.0,
775,506.0,8.0,
776,503.0,8.0,
777,411.0,,
778,509.0,1.0,
779,502.0,6.0,
780,508.0,1.0,
781,602.0,4.0,
782,501.0,8.0,
783,411.0,8.0,
784,500.0,7.0,
785,508.0,8.0,
786,510.0,8.0,
787,500.0,6.0,
788,504.0,5.0,
789,509.0,7.0,
790,501.0,8.0,
791,503.0,8.0,
792,502.0,6.0,
793,504.0,6.0,
794,602.0,1.0,
795,410.0,6.0,
796,509.0,6.0,
797,601.0,8.0,
798,602.0,6.0,
799,506.0,6.0,
800,504.0,8.0,
801,503.0,5.0,
802,505.0,6.0,
803,504.0,6.0,
804,503.0,8.0,
805,508.0,8.0,
806,711.0,4.0,
807,603.0,6.0,
808,508.0,6.0,
809,604.0,,
810,505.0,7.0,
811,507.0,7.0,
812,600.0,8.0,
813,504.0,6.0,
814,511.0,8.0,
815,503.0,8.0,
816,502.0,6.0,
817,504.0,6.0,
818,602.0,1.0,
819,509.0,6.0,
820,510.0,8.0,
821,503.0,8.0,
822,510.0,8.0,
823,504.0,7.0,
824,602.0,7.0,
825,505.0,6.0,
826,504.0,,
827,508.0,6.0,
828,601.0,8.0,
829,505.0,6.0,
830,602.0,6.0,
831,502.0,8.0,
832,511.0,8.0,
833,508.0,6.0,
834,602.0,5.0,
835,504.0,6.0,
836,504.0,7.0,
837,601.0,8.0,
838,511.0,6.0,
839,600.0,1.0,
840,600.0,6.0,
841,504.0,6.0,
842,505.0,6.0,
843,503.0,5.0,
844,503.0,6.0,
845,509.0,6.0,
846,506.0,6.0,
847,501.0,8.0,
848,600.0,7.0,
849,507.0,8.0,
850,,,
851,,,
852,,,
853,,,
854,,,
855,,1.0,
856,,,
857,,,
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,4.0,
865,,,
866,,,
867,,,
868,,,
869,,1.0,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,,1.0,
881,,,
882,,,
883,,,
884,,,
885,,,
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
896,,,
897,,,
898,,,
899,,,
900,,1.0,
901,,,
902,,,
903,,4.0,
904,,,
905,,,
906,,,
907,,,
908,,1.0,
909,,,
910,,,
911,,1.0,
912,,1.0,
913,,4.0,
914,,1.0,
915,,,
916,,,
917,,,
918,,,
919,,,
920,,,
921,,,
922,,,
923,,1.0,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,,,
932,,,
933,,1.0,
934,,,
935,,,
936,,,
937,,4.0,
938,,,
939,,,
940,,,
941,,,
942,,,
943,,,
944,,,
945,,1.0,
946,,,
947,,,
948,,,
949,,,
950,,,
951,,2.0,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,4.0,
961,,4.0,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,,,
969,,,
970,,,
971,,,
972,,,
973,,,
974,,,
975,,1.0,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,2.0,
995,,,
996,,,
997,,4.0,
998,,,
999,,,
1000,503.0,6.0,
1001,510.0,6.0,
1002,502.0,6.0,
1003,508.0,6.0,
1004,511.0,2.0,
1005,504.0,6.0,
1006,600.0,8.0,
1007,510.0,5.0,
1008,507.0,1.0,
1009,506.0,6.0,
1010,600.0,8.0,
1011,507.0,6.0,
1012,508.0,8.0,
1013,502.0,6.0,
1014,507.0,6.0,
1015,505.0,8.0,
1016,505.0,8.0,
1017,511.0,5.0,
1018,501.0,7.0,
1019,511.0,6.0,
1020,508.0,7.0,
1021,502.0,8.0,
1022,600.0,6.0,
1023,602.0,8.0,
1024,600.0,8.0,
1025,501.0,8.0,
1026,509.0,6.0,
1027,502.0,8.0,
1028,505.0,8.0,
1029,507.0,6.0,
1030,508.0,6.0,
1031,502.0,6.0,
1032,509.0,8.0,
1033,510.0,7.0,
1034,510.0,1.0,
1035,511.0,,
1036,505.0,8.0,
1037,505.0,8.0,
1038,601.0,6.0,
1039,508.0,6.0,
1040,505.0,8.0,
1041,506.0,7.0,
1042,507.0,6.0,
1043,510.0,6.0,
1044,600.0,7.0,
1045,502.0,,
1046,601.0,8.0,
1047,508.0,6.0,
1048,404.0,6.0,
1049,507.0,6.0,
1050,510.0,7.0,
1051,501.0,2.0,
1052,508.0,6.0,
1053,510.0,7.0,
1054,505.0,8.0,
1055,510.0,5.0,
1056,602.0,8.0,
1057,505.0,6.0,
1058,500.0,8.0,
1059,503.0,6.0,
1060,511.0,8.0,
1061,505.0,6.0,
1062,501.0,6.0,
1063,506.0,8.0,
1064,508.0,8.0,
1065,508.0,5.0,
1066,507.0,1.0,
1067,508.0,8.0,
1068,508.0,6.0,
1069,602.0,8.0,
1070,506.0,2.0,
1071,507.0,8.0,
1072,506.0,6.0,
1073,503.0,8.0,
1074,510.0,6.0,
1075,508.0,5.0,
1076,508.0,8.0,
1077,600.0,8.0,
1078,,5.0,
1079,507.0,6.0,
1080,509.0,8.0,
1081,507.0,8.0,
1082,501.0,8.0,
1083,508.0,,
1084,507.0,1.0,
1085,502.0,6.0,
1086,504.0,6.0,
1087,506.0,8.0,
1088,411.0,8.0,
1089,510.0,8.0,
1090,506.0,5.0,
1091,501.0,1.0,
1092,503.0,8.0,
1093,502.0,6.0,
1094,503.0,6.0,
1095,507.0,6.0,
1096,500.0,8.0,
1097,503.0,8.0,
1098,510.0,6.0,
1099,411.0,6.0,
1100,507.0,6.0,
1101,603.0,6.0,
1102,506.0,7.0,
1103,509.0,6.0,
1104,503.0,8.0,
1105,505.0,6.0,
1106,411.0,6.0,
1107,504.0,8.0,
1108,604.0,7.0,
1109,506.0,8.0,
1110,507.0,7.0,
1111,600.0,6.0,
1112,503.0,8.0,
1113,509.0,6.0,
1114,504.0,6.0,
1115,505.0,6.0,
1116,511.0,8.0,
1117,505.0,6.0,
1118,509.0,,
1119,511.0,6.0,
1120,505.0,8.0,
1121,411.0,8.0,
1122,405.0,6.0,
1123,510.0,8.0,
1124,506.0,6.0,
1125,502.0,6.0,
1126,505.0,7.0,
1127,506.0,8.0,
1128,510.0,6.0,
1129,507.0,8.0,
1130,508.0,,
1131,507.0,,
1132,504.0,2.0,
1133,509.0,6.0,
1134,508.0,8.0,
1135,510.0,6.0,
1136,505.0,6.0,
1137,508.0,7.0,
1138,500.0,1.0,
1139,501.0,4.0,
1140,509.0,5.0,
1141,508.0,6.0,
1142,507.0,6.0,
1143,610.0,8.0,
1144,502.0,8.0,
1145,510.0,1.0,
1146,509.0,,
1147,508.0,6.0,
1148,505.0,4.0,
1149,400.0,5.0,
1150,501.0,2.0,
1151,500.0,8.0,
1152,511.0,5.0,
1153,510.0,1.0,
1154,505.0,6.0,
1155,505.0,6.0,
1156,510.0,8.0,
1157,508.0,6.0,
1158,506.0,8.0,
1159,502.0,1.0,
1160,503.0,6.0,
1161,502.0,6.0,
1162,509.0,6.0,
1163,511.0,6.0,
1164,503.0,8.0,
1165,508.0,1.0,
1166,500.0,8.0,
1167,508.0,7.0,
1168,506.0,7.0,
1169,509.0,6.0,
1170,510.0,8.0,
1171,510.0,8.0,
1172,501.0,8.0,
1173,411.0,8.0,
1174,508.0,5.0,
1175,501.0,,
1176,507.0,6.0,
1177,508.0,6.0,
1178,501.0,4.0,
1179,507.0,8.0,
1180,502.0,8.0,
1181,506.0,,
1182,411.0,6.0,
1183,510.0,8.0,
1184,511.0,6.0,
1185,511.0,6.0,
1186,511.0,6.0,
1187,507.0,6.0,
1188,503.0,5.0,
1189,510.0,8.0,
1190,600.0,5.0,
1191,509.0,1.0,
1192,602.0,8.0,
1193,505.0,7.0,
1194,502.0,8.0,
1195,507.0,8.0,
1196,505.0,8.0,
1197,504.0,8.0,
1198,,5.0,
1199,500.0,4.0,
1200,709.0,6.0,
1201,504.0,6.0,
1202,506.0,5.0,
1203,506.0,8.0,
1204,507.0,6.0,
1205,507.0,1.0,
1206,508.0,8.0,
1207,410.0,6.0,
1208,502.0,8.0,
1209,600.0,3.0,
1210,504.0,8.0,
1211,501.0,4.0,
1212,502.0,6.0,
1213,411.0,6.0,
1214,501.0,8.0,
1215,502.0,6.0,
1216,506.0,2.0,
1217,504.0,6.0,
1218,500.0,6.0,
1219,508.0,6.0,
1220,503.0,5.0,
1221,505.0,6.0,
1222,506.0,6.0,
1223,505.0,6.0,
1224,,,
1225,506.0,6.0,
1226,507.0,6.0,
1227,508.0,8.0,
1228,600.0,6.0,
1229,501.0,1.0,
1230,504.0,,
1231,601.0,,
1232,508.0,6.0,
1233,502.0,8.0,
1234,500.0,7.0,
1235,506.0,6.0,
1236,503.0,6.0,
1237,600.0,8.0,
1238,507.0,8.0,
1239,502.0,8.0,
1240,501.0,6.0,
1241,505.0,6.0,
1242,508.0,5.0,
1243,502.0,6.0,
1244,503.0,6.0,
1245,511.0,7.0,
1246,600.0,7.0,
1247,502.0,6.0,
1248,,4.0,
1249,506.0,7.0,
1250,506.0,8.0,
1251,511.0,8.0,
1252,508.0,6.0,
1253,505.0,7.0,
1254,509.0,6.0,
1255,503.0,8.0,
1256,503.0,8.0,
1257,501.0,8.0,
1258,503.0,3.0,
1259,510.0,1.0,
1260,503.0,8.0,
1261,411.0,6.0,
1262,504.0,6.0,
1263,501.0,8.0,
1264,505.0,8.0,
1265,600.0,8.0,
1266,503.0,8.0,
1267,509.0,6.0,
1268,508.0,3.0,
1269,505.0,6.0,
1270,506.0,5.0,
1271,600.0,6.0,
1272,503.0,4.0,
1273,603.0,5.0,
1274,506.0,6.0,
1275,510.0,8.0,
1276,503.0,6.0,
1277,510.0,3.0,
1278,507.0,8.0,
1279,500.0,8.0,
1280,510.0,8.0,
1281,511.0,8.0,
1282,411.0,8.0,
1283,502.0,4.0,
1284,505.0,8.0,
1285,509.0,6.0,
1286,511.0,5.0,
1287,507.0,6.0,
1288,508.0,8.0,
1289,500.0,5.0,
1290,411.0,6.0,
1291,504.0,1.0,
1292,411.0,7.0,
1293,506.0,8.0,
1294,,1.0,
1295,,,
1296,,,
1297,,,
1298,,4.0,
1299,,,
1300,,,
1301,,,
1302,,1.0,
1303,,,
1304,,,
1305,,,
1306,,,
1307,,4.0,
1308,,,
1309,,,
1310,,6.0,
1311,,6.0,
1312,,6.0,
1313,506.0,6.0,
1314,508.0,6.0,
1315,502.0,6.0,
1316,504.0,8.0,
1317,502.0,6.0,
1318,508.0,6.0,
1319,504.0,8.0,
1320,510.0,6.0,
1321,508.0,7.0,
1322,500.0,6.0,
1323,504.0,5.0,
1324,503.0,8.0,
1325,504.0,8.0,
1326,603.0,5.0,
1327,510.0,5.0,
1328,509.0,7.0,
1329,504.0,6.0,
1330,511.0,8.0,
1331,510.0,6.0,
1332,506.0,7.0,
1333,511.0,5.0,
1334,501.0,8.0,
1335,510.0,8.0,
1336,305.0,4.0,
1337,510.0,6.0,
1338,506.0,6.0,
1339,500.0,6.0,
1340,508.0,7.0,
1341,504.0,8.0,
1342,506.0,6.0,
1343,502.0,4.0,
