row_id,weight_orig,mental_health_not_good,grade
283,200.0,1.0,
284,,2.0,
285,196.0,3.0,
286,135.0,4.0,
287,120.0,4.0,
288,110.0,3.0,
289,112.0,3.0,
290,,,
291,130.0,1.0,
292,145.0,2.0,
293,235.0,4.0,
294,135.0,2.0,
295,180.0,1.0,
296,,3.0,
297,,,
298,180.0,3.0,
299,159.0,,
300,178.0,3.0,
301,140.0,1.0,
302,115.0,3.0,
303,180.0,4.0,
304,,,
305,150.0,2.0,
306,130.0,4.0,
307,114.0,4.0,
308,290.0,2.0,
309,148.0,3.0,
310,186.0,,
311,197.0,,
312,123.0,2.0,
313,160.0,4.0,
314,,4.0,
315,139.0,1.0,
316,165.0,1.0,
317,195.0,3.0,
318,130.0,3.0,
319,135.0,5.0,
320,135.0,5.0,
321,160.0,1.0,
322,140.0,5.0,
323,145.0,1.0,
324,230.0,3.0,
325,121.0,2.0,
326,147.0,1.0,
327,120.0,4.0,
328,179.0,2.0,
329,160.0,,
330,275.0,3.0,
331,145.0,1.0,
332,131.0,1.0,
333,131.0,1.0,
334,155.0,4.0,
335,,,
336,,3.0,
337,119.0,1.0,
338,180.0,4.0,
339,115.0,4.0,
340,138.0,1.0,
341,192.0,3.0,
342,250.0,3.0,
343,112.0,3.0,
344,102.0,3.0,
345,181.0,2.0,
346,135.0,3.0,
347,90.0,2.0,
348,216.0,3.0,
349,,,
350,,4.0,
351,175.0,3.0,
352,205.0,,
353,150.0,3.0,
354,146.0,1.0,
355,190.0,3.0,
356,185.0,3.0,
357,117.0,4.0,
358,100.0,3.0,
359,109.0,2.0,
360,110.0,2.0,
361,,4.0,
362,110.0,2.0,
363,150.0,1.0,
364,139.0,,
365,,3.0,
366,,,
367,120.0,5.0,
368,138.0,2.0,
369,149.0,2.0,
370,137.0,2.0,
371,196.0,1.0,
372,239.0,2.0,
373,125.0,5.0,
374,115.0,4.0,
375,120.0,3.0,
376,175.0,5.0,
377,150.0,4.0,
378,135.0,1.0,
379,240.0,2.0,
380,57.0,2.0,
381,208.0,,
382,129.0,2.0,
383,148.0,1.0,
384,182.0,3.0,
385,223.0,2.0,
386,137.0,,
387,159.0,1.0,
388,150.0,5.0,
389,110.0,4.0,
390,110.0,1.0,
391,93.0,4.0,
392,130.0,2.0,
393,213.0,2.0,
394,175.0,2.0,
395,135.0,3.0,
396,98.0,5.0,
397,120.0,4.0,
398,250.0,4.0,
399,130.0,4.0,
400,120.0,2.0,
401,125.0,1.0,
402,116.0,3.0,
403,165.0,2.0,
404,185.0,4.0,
405,168.0,2.0,
406,104.0,4.0,
407,125.0,2.0,
408,175.0,4.0,
409,110.0,2.0,
410,134.0,4.0,
411,185.0,3.0,
412,184.0,3.0,
413,115.0,4.0,
414,105.0,4.0,
415,124.0,4.0,
416,100.0,4.0,
417,110.0,3.0,
418,125.0,3.0,
419,116.0,4.0,
420,144.0,1.0,
421,150.0,5.0,
422,127.0,3.0,
423,127.0,1.0,
424,125.0,4.0,
425,108.0,3.0,
426,160.0,2.0,
427,125.0,2.0,
428,155.0,2.0,
429,140.0,1.0,
430,180.0,3.0,
431,107.0,4.0,
432,150.0,3.0,
433,160.0,2.0,
434,,2.0,
435,172.0,2.0,
436,128.0,3.0,
437,170.0,1.0,
438,165.0,3.0,
439,245.0,2.0,
440,128.0,3.0,
441,113.0,5.0,
442,190.0,1.0,
443,136.0,1.0,
444,135.0,3.0,
445,192.0,4.0,
446,160.0,1.0,
447,130.0,4.0,
448,152.0,2.0,
449,120.0,2.0,
450,155.0,3.0,
451,155.0,3.0,
452,150.0,3.0,
453,183.0,1.0,
454,146.0,3.0,
455,143.0,2.0,
456,260.0,3.0,
457,120.0,2.0,
458,135.0,2.0,
459,145.0,2.0,
460,115.0,4.0,
461,133.0,2.0,
462,180.0,3.0,
463,,3.0,
464,185.0,3.0,
465,144.0,3.0,
466,325.0,2.0,
467,130.0,1.0,
468,170.0,4.0,
469,130.0,2.0,
470,120.0,2.0,
471,112.0,3.0,
472,125.0,3.0,
473,153.0,3.0,
474,220.0,1.0,
475,165.0,3.0,
476,160.0,2.0,
477,130.0,2.0,
478,150.0,2.0,
479,165.0,3.0,
480,175.0,5.0,
481,170.0,3.0,
482,135.0,2.0,
483,230.0,4.0,
484,152.0,,
485,135.0,3.0,
486,,4.0,
487,215.0,3.0,
488,152.0,1.0,
489,148.0,2.0,
490,125.0,2.0,
491,175.0,1.0,
492,152.0,,
493,156.0,4.0,
494,125.0,3.0,
495,,3.0,
496,130.0,3.0,
497,90.0,2.0,
498,124.0,3.0,
499,109.0,2.0,
500,160.0,2.0,
501,189.0,1.0,
502,200.0,1.0,
503,193.0,1.0,
504,170.0,1.0,
505,190.0,1.0,
506,230.0,5.0,
507,216.0,1.0,
508,135.0,1.0,
509,185.0,1.0,
510,155.0,1.0,
511,170.0,3.0,
512,197.0,1.0,
513,250.0,1.0,
514,140.0,4.0,
515,127.0,2.0,
516,115.0,2.0,
517,110.0,3.0,
518,115.0,2.0,
519,103.0,4.0,
520,180.0,1.0,
521,150.0,4.0,
522,143.0,2.0,
523,,1.0,
524,300.0,5.0,
525,145.0,2.0,
526,180.0,3.0,
527,173.0,,
528,138.0,3.0,
529,106.0,3.0,
530,105.0,2.0,
531,175.0,,
532,150.0,1.0,
533,135.0,2.0,
534,150.0,1.0,
535,190.0,1.0,
536,213.0,3.0,
537,220.0,1.0,
538,115.0,,
539,265.0,3.0,
540,200.0,,
541,,3.0,
542,180.0,4.0,
543,140.0,4.0,
544,120.0,1.0,
545,145.0,3.0,
546,150.0,4.0,
547,280.0,3.0,
548,,1.0,
549,135.0,3.0,
550,120.0,2.0,
551,123.0,,
552,95.0,3.0,
553,129.0,,
554,157.0,3.0,
555,,,
556,100.0,1.0,
557,125.0,3.0,
558,120.0,3.0,
559,135.0,,
560,140.0,5.0,
561,,,
562,140.0,1.0,
563,98.0,3.0,
564,130.0,,
565,260.0,2.0,
566,115.0,2.0,
567,140.0,1.0,
568,220.0,3.0,
569,135.0,5.0,
570,165.0,1.0,
571,230.0,3.0,
572,115.0,,
573,150.0,2.0,
574,160.0,4.0,
575,149.0,2.0,
576,120.0,5.0,
577,110.0,1.0,
578,220.0,2.0,
579,220.0,1.0,
580,215.0,3.0,
581,118.0,2.0,
582,160.0,4.0,
583,140.0,3.0,
584,150.0,4.0,
585,135.0,3.0,
586,145.0,4.0,
587,,2.0,
588,165.0,,
589,148.0,2.0,
590,134.0,3.0,
591,121.0,3.0,
592,130.0,2.0,
593,155.0,2.0,
594,140.0,2.0,
595,135.0,5.0,
596,160.0,2.0,
597,124.0,,
598,150.0,3.0,
599,,,
600,130.0,4.0,
601,185.0,4.0,
602,142.0,3.0,
603,135.0,,
604,,2.0,
605,115.0,4.0,
606,105.0,5.0,
607,138.0,,
608,120.0,5.0,
609,227.0,4.0,
610,214.0,1.0,
611,150.0,1.0,
612,,,
613,126.0,3.0,
614,210.0,4.0,
615,165.0,1.0,
616,,3.0,
617,115.0,,
618,132.0,3.0,
619,118.0,3.0,
620,300.0,1.0,
621,140.0,3.0,
622,,3.0,
623,107.0,4.0,
624,125.0,4.0,
625,125.0,1.0,
626,140.0,1.0,
627,135.0,2.0,
628,205.0,,
629,185.0,2.0,
630,,4.0,
631,182.0,2.0,
632,112.0,,
633,208.0,4.0,
634,232.0,1.0,
635,,5.0,
636,170.0,2.0,
637,195.0,3.0,
638,125.0,,
639,,3.0,
640,,,
641,98.0,4.0,
642,170.0,2.0,
643,160.0,4.0,
644,140.0,3.0,
645,200.0,1.0,
646,175.0,4.0,
647,230.0,1.0,
648,200.0,3.0,
649,200.0,4.0,
650,168.0,,
651,141.0,4.0,
652,152.0,,
653,94.0,4.0,
654,102.0,3.0,
655,115.0,3.0,
656,145.0,1.0,
657,130.0,3.0,
658,175.0,4.0,
659,280.0,1.0,
660,207.0,5.0,
661,185.0,,
662,98.0,3.0,
663,157.0,5.0,
664,155.0,,
665,108.0,1.0,
666,,5.0,
667,115.0,3.0,
668,120.0,2.0,
669,115.0,4.0,
670,160.0,3.0,
671,145.0,3.0,
672,160.0,1.0,
673,145.0,3.0,
674,128.0,5.0,
675,190.0,,
676,142.0,,
677,155.0,3.0,
678,135.0,,
679,,3.0,
680,155.0,4.0,
681,140.0,5.0,
682,145.0,2.0,
683,115.0,2.0,
684,160.0,3.0,
685,160.0,1.0,
686,138.0,3.0,
687,145.0,4.0,
688,190.0,3.0,
689,155.0,4.0,
690,130.0,1.0,
691,134.0,1.0,
692,160.0,1.0,
693,175.0,3.0,
694,128.0,2.0,
695,111.0,5.0,
696,160.0,3.0,
697,150.0,3.0,
698,,3.0,
699,115.0,1.0,
700,110.0,2.0,
701,117.0,3.0,
702,104.0,4.0,
703,123.0,4.0,
704,215.0,4.0,
705,107.0,2.0,
706,200.0,5.0,
707,123.0,3.0,
708,130.0,1.0,
709,146.0,1.0,
710,180.0,4.0,
711,114.0,3.0,
712,178.0,2.0,
713,158.0,3.0,
714,184.0,2.0,
715,120.0,3.0,
716,145.0,1.0,
717,140.0,4.0,
718,165.0,2.0,
719,120.0,1.0,
720,180.0,4.0,
721,129.0,,
722,147.0,4.0,
723,115.0,2.0,
724,280.0,2.0,
725,110.0,2.0,
726,95.0,4.0,
727,145.0,1.0,
728,115.0,,
729,280.0,4.0,
730,130.0,4.0,
731,130.0,1.0,
732,260.0,1.0,
733,145.0,4.0,
734,140.0,4.0,
735,145.0,2.0,
736,152.0,4.0,
737,200.0,2.0,
738,250.0,2.0,
739,140.0,1.0,
740,,1.0,
741,176.0,4.0,
742,130.0,2.0,
743,174.0,2.0,
744,200.0,,
745,200.0,5.0,
746,113.0,3.0,
747,105.0,1.0,
748,180.0,4.0,
749,131.0,3.0,
750,109.0,4.0,
751,125.0,1.0,
752,145.0,3.0,
753,120.0,4.0,
754,160.0,2.0,
755,130.0,1.0,
756,,4.0,
757,,1.0,
758,155.0,5.0,
759,150.0,2.0,
760,,3.0,
761,165.0,4.0,
762,140.0,3.0,
763,235.0,2.0,
764,200.0,1.0,
765,127.0,2.0,
766,160.0,2.0,
767,183.0,3.0,
768,199.0,1.0,
769,186.0,5.0,
770,117.0,2.0,
771,115.0,3.0,
772,201.0,2.0,
773,140.0,3.0,
774,172.0,2.0,
775,220.0,1.0,
776,110.0,3.0,
777,95.0,,
778,163.0,1.0,
779,106.0,3.0,
780,161.0,5.0,
781,160.0,1.0,
782,121.0,5.0,
783,200.0,1.0,
784,165.0,4.0,
785,135.0,4.0,
786,140.0,3.0,
787,200.0,5.0,
788,115.0,,
789,200.0,2.0,
790,101.0,2.0,
791,114.0,3.0,
792,105.0,3.0,
793,180.0,3.0,
794,160.0,2.0,
795,120.0,4.0,
796,120.0,2.0,
797,170.0,2.0,
798,225.0,4.0,
799,144.0,3.0,
800,135.0,3.0,
801,,4.0,
802,130.0,2.0,
803,125.0,4.0,
804,122.0,1.0,
805,155.0,3.0,
806,399.0,3.0,
807,215.0,1.0,
808,136.0,2.0,
809,185.0,,
810,,3.0,
811,230.0,2.0,
812,170.0,1.0,
813,140.0,3.0,
814,,,
815,123.0,3.0,
816,120.0,3.0,
817,225.0,3.0,
818,,4.0,
819,150.0,3.0,
820,170.0,3.0,
821,130.0,2.0,
822,137.0,4.0,
823,156.0,4.0,
824,180.0,2.0,
825,160.0,4.0,
826,,2.0,
827,205.0,1.0,
828,215.0,2.0,
829,150.0,3.0,
830,185.0,5.0,
831,109.0,5.0,
832,195.0,2.0,
833,170.0,2.0,
834,167.0,2.0,
835,140.0,4.0,
836,165.0,3.0,
837,190.0,3.0,
838,215.0,3.0,
839,188.0,5.0,
840,255.0,2.0,
841,140.0,5.0,
842,130.0,3.0,
843,107.0,3.0,
844,145.0,2.0,
845,138.0,3.0,
846,135.0,2.0,
847,154.0,2.0,
848,195.0,4.0,
849,140.0,3.0,
850,,5.0,
851,150.0,3.0,
852,145.0,,
853,128.0,1.0,
854,125.0,3.0,
855,110.0,,
856,180.0,3.0,
857,165.0,,
858,110.0,1.0,
859,143.0,3.0,
860,175.0,,
861,130.0,3.0,
862,155.0,3.0,
863,95.0,,
864,106.0,,
865,145.0,,
866,135.0,5.0,
867,180.0,3.0,
868,125.0,3.0,
869,120.0,3.0,
870,185.0,1.0,
871,150.0,,
872,140.0,3.0,
873,235.0,,
874,158.0,3.0,
875,130.0,,
876,140.0,,
877,163.0,1.0,
878,117.0,3.0,
879,130.0,5.0,
880,180.0,3.0,
881,130.0,3.0,
882,158.0,1.0,
883,140.0,3.0,
884,130.0,,
885,,,
886,90.0,3.0,
887,132.0,5.0,
888,180.0,3.0,
889,120.0,,
890,110.0,3.0,
891,107.0,5.0,
892,140.0,1.0,
893,134.0,,
894,150.0,,
895,153.0,,
896,155.0,,
897,132.0,,
898,107.0,3.0,
899,145.0,3.0,
900,115.0,3.0,
901,190.0,,
902,180.0,,
903,132.0,3.0,
904,122.0,,
905,399.0,5.0,
906,120.0,3.0,
907,190.0,,
908,399.0,3.0,
909,136.0,,
910,,3.0,
911,118.0,5.0,
912,230.0,3.0,
913,115.0,,
914,125.0,,
915,,,
916,200.0,3.0,
917,130.0,3.0,
918,93.0,,
919,180.0,,
920,130.0,3.0,
921,155.0,,
922,115.0,3.0,
923,130.0,3.0,
924,120.0,,
925,130.0,3.0,
926,350.0,,
927,106.0,1.0,
928,120.0,3.0,
929,270.0,3.0,
930,105.0,3.0,
931,175.0,5.0,
932,156.0,3.0,
933,115.0,5.0,
934,125.0,5.0,
935,,,
936,114.0,,
937,210.0,3.0,
938,150.0,,
939,115.0,5.0,
940,240.0,,
941,,,
942,250.0,3.0,
943,116.0,5.0,
944,170.0,3.0,
945,150.0,3.0,
946,195.0,,
947,140.0,,
948,130.0,1.0,
949,155.0,3.0,
950,120.0,,
951,125.0,1.0,
952,115.0,,
953,,,
954,170.0,,
955,115.0,3.0,
956,200.0,3.0,
957,138.0,3.0,
958,104.0,3.0,
959,119.0,,
960,163.0,3.0,
961,134.0,1.0,
962,126.0,1.0,
963,140.0,,
964,128.0,,
965,200.0,3.0,
966,210.0,3.0,
967,,1.0,
968,105.0,3.0,
969,126.0,,
970,125.0,,
971,105.0,3.0,
972,153.0,3.0,
973,158.0,,
974,106.0,,
975,140.0,,
976,110.0,1.0,
977,150.0,,
978,145.0,,
979,150.0,,
980,180.0,1.0,
981,148.0,,
982,150.0,,
983,178.0,1.0,
984,220.0,1.0,
985,151.0,3.0,
986,156.0,,
987,150.0,3.0,
988,130.0,,
989,190.0,,
990,135.0,1.0,
991,129.0,1.0,
992,128.0,3.0,
993,250.0,,
994,108.0,5.0,
995,105.0,3.0,
996,130.0,,
997,128.0,,
998,89.0,1.0,
999,155.0,,
1000,130.0,4.0,
1001,205.0,2.0,
1002,147.0,5.0,
1003,138.0,4.0,
1004,245.0,5.0,
1005,127.0,4.0,
1006,136.0,1.0,
1007,229.0,1.0,
1008,118.0,3.0,
1009,205.0,5.0,
1010,185.0,4.0,
1011,115.0,5.0,
1012,145.0,2.0,
1013,125.0,4.0,
1014,144.0,1.0,
1015,126.0,3.0,
1016,140.0,4.0,
1017,170.0,3.0,
1018,117.0,4.0,
1019,200.0,3.0,
1020,125.0,3.0,
1021,110.0,3.0,
1022,150.0,2.0,
1023,150.0,2.0,
1024,,1.0,
1025,120.0,3.0,
1026,175.0,3.0,
1027,107.0,3.0,
1028,165.0,5.0,
1029,,2.0,
1030,139.0,3.0,
1031,110.0,2.0,
1032,,5.0,
1033,150.0,3.0,
1034,200.0,2.0,
1035,180.0,,
1036,134.0,2.0,
1037,125.0,4.0,
1038,163.0,2.0,
1039,155.0,2.0,
1040,,2.0,
1041,155.0,3.0,
1042,115.0,2.0,
1043,120.0,2.0,
1044,150.0,3.0,
1045,97.0,4.0,
1046,170.0,3.0,
1047,165.0,3.0,
1048,129.0,3.0,
1049,130.0,5.0,
1050,145.0,3.0,
1051,172.0,1.0,
1052,199.0,3.0,
1053,256.0,4.0,
1054,168.0,2.0,
1055,120.0,2.0,
1056,211.0,1.0,
1057,130.0,3.0,
1058,119.0,4.0,
1059,105.0,2.0,
1060,130.0,3.0,
1061,150.0,3.0,
1062,106.0,2.0,
1063,110.0,5.0,
1064,135.0,1.0,
1065,,3.0,
1066,115.0,1.0,
1067,,4.0,
1068,120.0,3.0,
1069,160.0,1.0,
1070,150.0,,
1071,175.0,1.0,
1072,134.0,2.0,
1073,,3.0,
1074,209.0,4.0,
1075,170.0,3.0,
1076,198.0,1.0,
1077,220.0,2.0,
1078,,3.0,
1079,240.0,4.0,
1080,140.0,3.0,
1081,150.0,1.0,
1082,113.0,1.0,
1083,135.0,1.0,
1084,125.0,5.0,
1085,,3.0,
1086,140.0,5.0,
1087,,5.0,
1088,86.0,2.0,
1089,,4.0,
1090,134.0,1.0,
1091,136.0,1.0,
1092,,5.0,
1093,140.0,4.0,
1094,110.0,1.0,
1095,150.0,4.0,
1096,95.0,2.0,
1097,155.0,3.0,
1098,175.0,2.0,
1099,,1.0,
1100,140.0,2.0,
1101,185.0,4.0,
1102,120.0,1.0,
1103,122.0,1.0,
1104,125.0,5.0,
1105,180.0,2.0,
1106,106.0,3.0,
1107,143.0,3.0,
1108,225.0,1.0,
1109,312.0,3.0,
1110,120.0,4.0,
1111,154.0,4.0,
1112,150.0,5.0,
1113,160.0,1.0,
1114,,2.0,
1115,123.0,2.0,
1116,178.0,4.0,
1117,130.0,3.0,
1118,169.0,1.0,
1119,230.0,2.0,
1120,126.0,1.0,
1121,146.0,5.0,
1122,158.0,3.0,
1123,188.0,4.0,
1124,171.0,1.0,
1125,,3.0,
1126,250.0,,
1127,115.0,1.0,
1128,135.0,4.0,
1129,150.0,4.0,
1130,175.0,,
1131,208.0,,
1132,,1.0,
1133,225.0,3.0,
1134,240.0,2.0,
1135,130.0,1.0,
1136,180.0,3.0,
1137,300.0,5.0,
1138,104.0,1.0,
1139,115.0,2.0,
1140,186.0,2.0,
1141,110.0,2.0,
1142,145.0,1.0,
1143,200.0,1.0,
1144,102.0,5.0,
1145,175.0,3.0,
1146,140.0,,
1147,130.0,3.0,
1148,185.0,3.0,
1149,100.0,1.0,
1150,123.0,4.0,
1151,99.0,2.0,
1152,120.0,2.0,
1153,170.0,1.0,
1154,157.0,3.0,
1155,110.0,1.0,
1156,185.0,5.0,
1157,165.0,2.0,
1158,183.0,3.0,
1159,120.0,2.0,
1160,130.0,1.0,
1161,130.0,4.0,
1162,145.0,4.0,
1163,180.0,3.0,
1164,123.0,3.0,
1165,150.0,,
1166,100.0,1.0,
1167,245.0,5.0,
1168,200.0,1.0,
1169,131.0,3.0,
1170,115.0,2.0,
1171,169.0,2.0,
1172,,1.0,
1173,,,
1174,140.0,4.0,
1175,222.0,,
1176,138.0,3.0,
1177,155.0,1.0,
1178,125.0,1.0,
1179,200.0,1.0,
1180,100.0,2.0,
1181,130.0,,
1182,95.0,3.0,
1183,180.0,3.0,
1184,135.0,2.0,
1185,172.0,3.0,
1186,140.0,1.0,
1187,187.0,3.0,
1188,125.0,3.0,
1189,125.0,2.0,
1190,270.0,1.0,
1191,125.0,3.0,
1192,187.0,3.0,
1193,120.0,4.0,
1194,140.0,4.0,
1195,,5.0,
1196,145.0,1.0,
1197,200.0,5.0,
1198,,3.0,
1199,140.0,4.0,
1200,160.0,4.0,
1201,153.0,1.0,
1202,120.0,1.0,
1203,,2.0,
1204,145.0,3.0,
1205,158.0,2.0,
1206,229.0,5.0,
1207,122.0,4.0,
1208,170.0,4.0,
1209,230.0,3.0,
1210,,5.0,
1211,105.0,1.0,
1212,192.0,3.0,
1213,110.0,4.0,
1214,,3.0,
1215,,2.0,
1216,218.0,1.0,
1217,135.0,4.0,
1218,135.0,3.0,
1219,160.0,1.0,
1220,155.0,1.0,
1221,130.0,5.0,
1222,200.0,4.0,
1223,130.0,3.0,
1224,,,
1225,115.0,4.0,
1226,120.0,3.0,
1227,175.0,1.0,
1228,150.0,1.0,
1229,,1.0,
1230,160.0,,
1231,168.0,,
1232,250.0,3.0,
1233,108.0,4.0,
1234,102.0,3.0,
1235,130.0,3.0,
1236,125.0,3.0,
1237,160.0,1.0,
1238,160.0,3.0,
1239,120.0,2.0,
1240,175.0,4.0,
1241,180.0,1.0,
1242,210.0,4.0,
1243,115.0,3.0,
1244,132.0,3.0,
1245,162.0,3.0,
1246,212.0,3.0,
1247,,3.0,
1248,,3.0,
1249,120.0,5.0,
1250,,4.0,
1251,187.0,1.0,
1252,137.0,4.0,
1253,110.0,4.0,
1254,180.0,2.0,
1255,150.0,3.0,
1256,125.0,1.0,
1257,,3.0,
1258,,1.0,
1259,165.0,2.0,
1260,102.0,,
1261,98.0,,
1262,129.0,2.0,
1263,82.0,3.0,
1264,,1.0,
1265,158.0,1.0,
1266,124.0,3.0,
1267,300.0,4.0,
1268,167.0,1.0,
1269,130.0,1.0,
1270,240.0,2.0,
1271,300.0,3.0,
1272,,3.0,
1273,160.0,,
1274,135.0,4.0,
1275,138.0,3.0,
1276,125.0,3.0,
1277,150.0,3.0,
1278,,3.0,
1279,98.0,3.0,
1280,130.0,4.0,
1281,180.0,2.0,
1282,177.0,4.0,
1283,115.0,1.0,
1284,160.0,1.0,
1285,160.0,3.0,
1286,225.0,1.0,
1287,145.0,4.0,
1288,195.0,2.0,
1289,114.0,2.0,
1290,160.0,2.0,
1291,110.0,4.0,
1292,100.0,3.0,
1293,149.0,4.0,
1294,,,
1295,135.0,,
1296,150.0,3.0,
1297,110.0,,
1298,116.0,,
1299,150.0,3.0,
1300,,3.0,
1301,,,
1302,148.0,,
1303,130.0,,
1304,,1.0,
1305,,5.0,
1306,160.0,1.0,
1307,135.0,2.0,
1308,143.0,3.0,
