row_id,age,sex,grade,social_media_use,mental_health_not_good,sleep_hours,bmipct,height_orig,weight_orig
49,,,,8.0,4.0,4.0,71.83,500,110
50,,,,7.0,4.0,2.0,46.6,505,125
51,,,,8.0,1.0,5.0,49.55,504,118
52,,,,1.0,3.0,6.0,84.46,509,160
53,,,,8.0,1.0,5.0,98.39,505,220
54,,,,7.0,2.0,5.0,38.4,603,170
55,,,,6.0,2.0,4.0,72.05,600,178
56,,,,5.0,2.0,4.0,83.71,600,190
57,,,,6.0,2.0,3.0,,607,130
58,,,,6.0,2.0,3.0,99.53,511,270
59,,,,4.0,1.0,3.0,47.28,509,135
60,,,,6.0,5.0,1.0,,603,210
61,,,,8.0,2.0,4.0,74.22,509,145
62,,,,7.0,2.0,1.0,99.0,600,245
63,,,,5.0,1.0,4.0,58.55,510,155
64,,,,4.0,3.0,3.0,66.76,509,145
65,,,,8.0,1.0,5.0,13.45,501,90
66,,,,5.0,2.0,4.0,,504,120
67,,,,6.0,3.0,1.0,65.84,505,135
68,,,,6.0,2.0,2.0,92.47,511,190
69,,,,8.0,5.0,3.0,99.08,505,250
70,,,,6.0,2.0,4.0,0.22,507,100
71,,,,6.0,1.0,5.0,54.05,508,135
72,,,,6.0,3.0,4.0,78.35,506,150
73,,,,6.0,1.0,7.0,95.82,505,185
74,,,,1.0,4.0,1.0,93.19,505,175
75,,,,4.0,3.0,2.0,19.13,507,120
76,,,,8.0,,,,509,200
77,,,,8.0,3.0,3.0,46.6,505,125
78,,,,8.0,1.0,7.0,91.97,602,200
79,,,,5.0,1.0,1.0,,505,130
80,,,,1.0,4.0,1.0,58.83,600,164
81,,,,6.0,2.0,3.0,33.01,501,103
82,,,,8.0,3.0,3.0,33.36,509,129
83,,,,6.0,2.0,3.0,68.87,600,160
84,,,,6.0,4.0,2.0,7.68,503,98
85,,,,1.0,5.0,2.0,98.06,502,180
86,,,,4.0,4.0,1.0,94.42,600,198
87,,,,4.0,4.0,6.0,,605,236
88,,,,1.0,1.0,4.0,,403,105
89,,,,6.0,3.0,2.0,76.16,511,155
90,,,,8.0,3.0,5.0,56.12,508,136
91,,,,8.0,3.0,3.0,99.28,506,250
92,,,,6.0,1.0,4.0,93.58,504,165
93,,,,8.0,2.0,4.0,68.71,508,138
94,,,,8.0,2.0,4.0,81.73,506,158
95,,,,6.0,1.0,,36.8,505,120
96,,,,5.0,2.0,3.0,93.65,503,149
97,,,,7.0,4.0,4.0,,504,N
98,,,,8.0,1.0,1.0,40.79,505,120
99,,,,6.0,3.0,,86.29,502,140
100,,,,7.0,4.0,2.0,,510,185
101,,,,,,,65.99,508,155
102,,,,8.0,1.0,1.0,92.09,504,160
103,,,,8.0,4.0,3.0,42.79,510,147
104,,,,8.0,1.0,,73.72,510,160
105,,,,5.0,1.0,6.0,78.78,601,172
106,,,,8.0,4.0,3.0,44.69,602,165
107,,,,6.0,5.0,3.0,55.93,501,112
108,,,,6.0,2.0,2.0,97.45,602,240
109,,,,6.0,3.0,5.0,46.6,505,125
110,,,,8.0,2.0,3.0,90.2,508,175
111,,,,8.0,3.0,4.0,73.72,510,160
112,,,,2.0,4.0,3.0,74.46,600,175
113,,,,8.0,3.0,5.0,67.17,504,130
114,,,,8.0,3.0,2.0,56.96,503,117
115,,,,2.0,4.0,5.0,90.25,503,146
116,,,,8.0,5.0,1.0,70.27,506,137
117,,,,2.0,5.0,4.0,70.29,603,185
118,,,,6.0,2.0,2.0,91.53,601,198
119,,,,8.0,3.0,5.0,98.36,509,215
120,,,,8.0,3.0,3.0,87.12,411,120
121,,,,7.0,4.0,5.0,92.1,505,160
122,,,,6.0,2.0,4.0,9.12,510,121
123,,,,6.0,3.0,2.0,86.29,502,140
124,,,,5.0,3.0,4.0,76.74,601,170
125,,,,8.0,5.0,3.0,81.18,504,138
126,,,,5.0,5.0,4.0,89.52,504,150
127,,,,1.0,3.0,6.0,94.76,507,185
128,,,,8.0,5.0,,97.9,505,196
129,,,,8.0,5.0,1.0,97.69,500,174
130,,,,5.0,1.0,4.0,0.8,510,110
131,,,,8.0,3.0,,39.92,506,121
132,,,,7.0,1.0,1.0,83.34,602,200
133,,,,6.0,1.0,3.0,85.99,604,215
134,,,,6.0,5.0,2.0,94.58,502,157
135,,,,6.0,2.0,3.0,80.64,506,146
136,,,,8.0,1.0,2.0,21.25,601,143
137,,,,6.0,2.0,3.0,58.88,509,150
138,,,,6.0,4.0,4.0,92.81,501,150
139,,,,8.0,1.0,3.0,35.33,601,155
140,,,,6.0,4.0,2.0,38.4,603,170
141,,,,8.0,4.0,4.0,20.76,503,107
142,,,,8.0,1.0,1.0,,405,150
143,,,,8.0,3.0,5.0,80.22,602,185
144,,,,6.0,3.0,1.0,96.58,600,220
145,,,,1.0,1.0,1.0,,503,N
146,,,,4.0,2.0,3.0,97.21,601,230
147,,,,1.0,1.0,1.0,,507,150
148,,,,8.0,1.0,,7.15,604,150
149,,,,8.0,4.0,1.0,0.5,601,125
150,,,,8.0,1.0,3.0,39.33,508,133
151,,,,6.0,2.0,,42.13,511,150
152,,,,6.0,3.0,4.0,35.05,505,120
153,,,,2.0,1.0,,95.61,600,214
154,,,,6.0,,3.0,61.17,511,150
155,,,,7.0,1.0,4.0,62.39,503,125
156,,,,4.0,1.0,4.0,96.61,604,245
157,,,,6.0,2.0,4.0,94.43,602,220
158,,,,6.0,4.0,2.0,15.49,411,90
159,,,,8.0,2.0,2.0,20.57,511,135
160,,,,8.0,2.0,1.0,97.51,506,216
161,,,,8.0,5.0,5.0,0.01,411,73
162,,,,6.0,1.0,5.0,84.81,510,166
163,,,,3.0,3.0,4.0,34.24,510,143
164,,,,6.0,2.0,5.0,97.96,502,190
165,,,,4.0,3.0,2.0,86.32,502,134
166,,,,4.0,3.0,5.0,97.28,505,182
167,,,,8.0,3.0,,93.85,503,156
168,,,,8.0,4.0,5.0,99.34,507,290
169,,,,8.0,1.0,,27.6,602,156
170,,,,6.0,4.0,4.0,99.25,507,280
171,,,,,,,99.15,510,238
172,,,,8.0,5.0,7.0,45.3,508,140
173,,,,8.0,4.0,1.0,,N N,264
174,,,,8.0,2.0,,41.27,604,161
175,,,,1.0,2.0,6.0,,N N,N
176,,,,1.0,1.0,,,600,166
177,,,,6.0,2.0,4.0,93.83,507,176
178,,,,8.0,4.0,3.0,99.32,503,230
179,,,,8.0,3.0,5.0,89.9,503,152
180,,,,8.0,3.0,1.0,94.41,411,146
181,,,,8.0,1.0,3.0,97.31,507,195
182,,,,8.0,1.0,6.0,,504,N
183,,,,6.0,2.0,4.0,32.92,506,118
184,,,,8.0,3.0,6.0,,403,245
185,,,,6.0,1.0,2.0,21.67,511,140
186,,,,6.0,2.0,3.0,93.94,600,196
187,,,,6.0,1.0,5.0,,604,199
188,,,,8.0,4.0,3.0,79.37,510,170
189,,,,6.0,4.0,2.0,66.73,503,125
190,,,,7.0,1.0,6.0,73.28,411,111
191,,,,5.0,5.0,7.0,47.49,506,130
192,,,,8.0,5.0,4.0,86.74,409,120
193,,,,8.0,4.0,1.0,11.25,504,104
194,,,,6.0,3.0,3.0,72.94,506,142
195,,,,,1.0,4.0,94.82,600,205
196,,,,8.0,1.0,3.0,76.74,411,116
197,,,,8.0,1.0,,47.58,509,135
198,,,,8.0,3.0,5.0,99.9,601,380
199,,,,6.0,2.0,3.0,0.61,600,123
200,,,,2.0,4.0,4.0,93.85,503,156
201,,,,4.0,1.0,5.0,,403,115
202,,,,8.0,4.0,2.0,96.94,503,168
203,,,,3.0,1.0,5.0,81.1,506,150
204,,,,6.0,4.0,4.0,67.48,501,115
205,,,,8.0,2.0,4.0,99.13,506,215
206,,,,8.0,4.0,5.0,98.13,502,175
207,,,,1.0,3.0,4.0,94.35,508,186
208,,,,8.0,3.0,4.0,94.74,504,170
209,,,,6.0,3.0,3.0,13.26,508,112
210,,,,,,,,707,61
211,,,,8.0,4.0,1.0,72.14,508,150
212,,,,8.0,1.0,5.0,99.4,509,245
213,,,,6.0,4.0,3.0,97.18,601,225
214,,,,8.0,2.0,3.0,47.44,508,132
215,,,,4.0,2.0,5.0,79.92,507,151
216,,,,,,,97.5,503,190
217,,,,1.0,,,,510,N
218,,,,6.0,3.0,4.0,85.87,501,130
219,,,,6.0,4.0,3.0,9.23,509,125
220,,,,6.0,5.0,1.0,96.92,504,190
221,,,,5.0,3.0,,88.44,601,191
222,,,,8.0,3.0,3.0,58.87,506,130
223,,,,6.0,3.0,3.0,99.04,505,260
224,,,,2.0,3.0,4.0,,511,163
225,,,,6.0,3.0,2.0,87.9,509,170
226,,,,8.0,4.0,5.0,,400,205
227,,,,1.0,1.0,1.0,79.93,509,155
228,,,,1.0,2.0,4.0,96.86,601,227
229,,,,6.0,2.0,,26.69,510,135
230,,,,,,,,704,50
231,,,,6.0,3.0,5.0,71.79,508,140
232,,,,8.0,3.0,3.0,33.18,511,150
233,,,,8.0,1.0,4.0,61.17,511,150
234,,,,8.0,4.0,,,609,158
235,,,,8.0,1.0,,98.5,502,195
236,,,,2.0,3.0,7.0,,405,130
237,,,,6.0,1.0,4.0,88.95,601,192
238,,,,6.0,5.0,6.0,98.83,505,218
239,,,,8.0,2.0,3.0,42.36,507,125
240,,,,8.0,3.0,3.0,97.43,502,182
241,,,,1.0,5.0,2.0,53.81,505,131
242,,,,8.0,1.0,1.0,80.91,509,161
243,,,,8.0,5.0,3.0,71.8,504,130
244,,,,8.0,2.0,4.0,,510,245
245,,,,1.0,4.0,5.0,98.95,504,236
246,,,,2.0,1.0,6.0,20.15,604,160
247,,,,8.0,1.0,1.0,6.48,600,130
248,,,,8.0,1.0,4.0,29.09,507,120
249,,,,6.0,2.0,5.0,76.45,505,135
250,,,,1.0,1.0,1.0,81.08,603,190
251,,,,6.0,3.0,4.0,99.64,507,252
252,,,,6.0,4.0,,69.87,505,135
253,,,,8.0,1.0,6.0,58.74,601,157
254,,,,6.0,5.0,1.0,95.07,501,159
255,,,,8.0,4.0,5.0,67.85,502,121
256,,,,8.0,,,57.76,509,140
257,,,,6.0,5.0,4.0,63.8,508,140
258,,,,2.0,1.0,2.0,21.46,505,110
259,,,,8.0,1.0,3.0,96.6,509,204
260,,,,6.0,4.0,2.0,42.53,504,115
261,,,,8.0,3.0,3.0,97.22,506,188
262,,,,6.0,1.0,3.0,85.85,500,128
263,,,,6.0,2.0,4.0,93.27,500,135
264,,,,6.0,4.0,4.0,96.72,500,150
265,,,,8.0,1.0,5.0,80.1,509,150
266,,,,2.0,1.0,6.0,43.38,502,107
267,,,,8.0,3.0,5.0,51.62,509,137
268,,,,6.0,3.0,1.0,45.26,505,119
269,,,,3.0,3.0,2.0,95.85,510,189
270,,,,5.0,1.0,5.0,47.28,509,135
271,,,,8.0,3.0,5.0,47.72,510,135
272,,,,6.0,3.0,5.0,51.43,601,153
273,,,,8.0,3.0,1.0,48.67,506,125
274,,,,8.0,1.0,3.0,31.06,507,120
275,,,,8.0,,,70.67,501,122
276,,,,7.0,2.0,3.0,18.92,600,134
277,,,,8.0,2.0,5.0,99.58,605,325
278,,,10th grade,7.0,2.0,,46.48,507,130
279,,,,6.0,2.0,4.0,58.09,505,125
280,,,,6.0,3.0,3.0,,N N,N
281,,,,6.0,2.0,5.0,,510,N
282,,,,1.0,5.0,5.0,37.58,506,120
283,,,,6.0,1.0,6.0,97.49,509,200
284,,,,1.0,2.0,4.0,,505,N
285,,,,6.0,3.0,3.0,95.67,509,196
286,,,,8.0,4.0,3.0,60.97,506,135
287,,,,1.0,4.0,4.0,65.47,502,120
288,,,,8.0,3.0,3.0,23.65,504,110
289,,,,8.0,3.0,3.0,45.49,503,112
290,,,,5.0,,6.0,,504,N
291,,,,3.0,1.0,7.0,80.86,501,130
292,,,,4.0,2.0,1.0,19.89,603,145
293,,,,5.0,4.0,3.0,99.17,509,235
294,,,,6.0,2.0,3.0,74.19,505,135
295,,,,1.0,1.0,6.0,88.14,510,180
296,,,,8.0,3.0,3.0,,N N,N
297,,,,,,,,405,N
298,,,,8.0,3.0,2.0,95.53,506,180
299,,,,,,,,508,159
300,,,,3.0,3.0,1.0,,302,178
301,,,,6.0,1.0,1.0,86.46,505,140
302,,,,5.0,3.0,6.0,62.32,501,115
303,,,,5.0,4.0,1.0,96.05,503,180
304,,,,4.0,,5.0,,511,N
305,,,,6.0,2.0,5.0,93.8,502,150
306,,,,6.0,4.0,,58.87,506,130
307,,,,6.0,4.0,3.0,59.85,502,114
308,,,,8.0,2.0,4.0,99.41,602,290
309,,,,8.0,3.0,3.0,53.34,508,148
310,,,,,,,94.09,510,186
311,,,,8.0,,,96.97,510,197
312,,,,8.0,2.0,3.0,90.33,409,123
313,,,,6.0,4.0,4.0,93.6,502,160
314,,,,8.0,4.0,4.0,,508,N
315,,,,8.0,1.0,3.0,77.11,507,139
316,,,,2.0,1.0,5.0,87.92,509,165
317,,,,6.0,3.0,3.0,93.82,510,195
318,,,,6.0,3.0,5.0,59.21,504,130
319,,,,8.0,5.0,3.0,81.89,504,135
320,,,,6.0,5.0,5.0,69.13,506,135
321,,,,6.0,1.0,5.0,93.33,504,160
322,,,,1.0,5.0,,86.29,502,140
323,,,,5.0,1.0,5.0,57.53,507,145
324,,,,6.0,3.0,4.0,99.29,502,230
325,,,,5.0,2.0,4.0,56.1,504,121
326,,,,6.0,1.0,5.0,84.07,504,147
327,,,,6.0,4.0,3.0,35.05,505,120
328,,,,8.0,2.0,4.0,92.58,506,179
329,,,,6.0,,,92.53,507,160
330,,,,8.0,3.0,2.0,99.57,507,275
331,,,,4.0,1.0,5.0,86.69,504,145
332,,,,7.0,1.0,3.0,53.81,505,131
333,,,,1.0,1.0,4.0,,500,131
334,,,,8.0,4.0,2.0,89.95,503,155
335,,,,,,,,504,N
336,,,,2.0,3.0,2.0,,N N,N
337,,,,8.0,1.0,4.0,44.71,505,119
338,,,,5.0,4.0,4.0,92.69,507,180
339,,,,8.0,4.0,,23.69,506,115
340,,,,6.0,1.0,6.0,68.71,508,138
341,,,,8.0,3.0,6.0,91.31,511,192
342,,,,6.0,3.0,2.0,99.01,511,250
343,,,,6.0,3.0,5.0,28.62,503,112
344,,,,8.0,3.0,5.0,37.93,502,102
345,,,,6.0,2.0,5.0,97.82,505,181
346,,,,6.0,3.0,3.0,82.39,502,135
347,,,,6.0,2.0,2.0,5.01,500,90
348,,,,6.0,3.0,2.0,98.69,503,216
349,,,,,,,,503,N
350,,,,8.0,4.0,2.0,,500,N
351,,,,6.0,3.0,5.0,80.48,511,175
352,,,,,,,97.34,511,205
353,,,,4.0,3.0,4.0,87.56,505,150
354,,,,8.0,1.0,2.0,27.03,601,146
355,,,,6.0,3.0,,83.71,600,190
356,,,,4.0,3.0,5.0,97.25,502,185
357,,,,7.0,4.0,1.0,3.75,508,117
358,,,,8.0,3.0,5.0,,707,100
359,,,,6.0,2.0,5.0,31.1,503,109
360,,,,6.0,2.0,3.0,14.93,504,110
361,,,,6.0,4.0,2.0,,N N,N
362,,,,8.0,2.0,1.0,,506,110
363,,,,8.0,1.0,5.0,23.57,600,150
364,,,,,,,75.92,504,139
365,,,,8.0,3.0,4.0,,510,N
366,,,,,,,,N N,N
367,,,,6.0,5.0,3.0,,705,120
368,,,,8.0,2.0,1.0,80.36,503,138
369,,,,8.0,2.0,4.0,91.0,504,149
370,,,,8.0,2.0,3.0,,708,137
371,,,,8.0,1.0,3.0,97.04,505,196
372,,,,5.0,2.0,2.0,98.97,510,239
373,,,,8.0,5.0,2.0,62.39,503,125
374,,,,8.0,4.0,2.0,50.12,504,115
375,,,,6.0,3.0,4.0,29.09,507,120
376,,,,6.0,5.0,2.0,95.36,506,175
377,,,,6.0,4.0,2.0,88.94,503,150
378,,,,8.0,1.0,3.0,11.8,510,135
379,,,,1.0,2.0,4.0,98.09,600,240
380,,,,6.0,2.0,2.0,,508,57
381,,,,,,,98.5,505,208
382,,,,6.0,2.0,1.0,40.39,508,129
383,,,,2.0,1.0,4.0,75.14,506,148
384,,,,6.0,3.0,3.0,93.33,506,182
385,,,,4.0,2.0,5.0,98.34,509,223
386,,,,8.0,,,45.38,511,137
387,,,,8.0,1.0,5.0,94.6,503,159
388,,,,8.0,5.0,5.0,75.96,508,150
389,,,,6.0,4.0,1.0,13.16,505,110
390,,,,2.0,1.0,5.0,56.3,500,110
391,,,,1.0,4.0,4.0,22.91,500,93
392,,,,8.0,2.0,1.0,67.17,504,130
393,,,,6.0,2.0,3.0,97.66,510,213
394,,,,6.0,2.0,1.0,79.95,600,175
395,,,,6.0,3.0,3.0,69.87,505,135
396,,,,8.0,5.0,2.0,26.31,501,98
397,,,,6.0,4.0,1.0,12.36,507,120
398,,,,8.0,4.0,3.0,98.9,601,250
399,,,,8.0,4.0,2.0,91.1,411,130
400,,,,4.0,2.0,5.0,0.03,603,120
401,,,,8.0,1.0,5.0,42.15,506,125
402,,,,8.0,3.0,3.0,38.2,505,116
403,,,,6.0,2.0,4.0,96.07,502,165
404,,,,8.0,4.0,4.0,98.35,502,185
405,,,,8.0,2.0,2.0,86.22,510,168
406,,,,8.0,4.0,4.0,,501,104
407,,,,8.0,2.0,5.0,52.01,505,125
408,,,,8.0,4.0,3.0,88.17,511,175
409,,,,7.0,2.0,2.0,33.67,503,110
410,,,,7.0,4.0,4.0,61.56,507,134
411,,,,1.0,3.0,4.0,95.24,508,185
412,,,,6.0,3.0,1.0,97.01,503,184
413,,,,2.0,4.0,5.0,42.53,504,115
414,,,,6.0,4.0,1.0,55.57,500,105
415,,,,6.0,4.0,4.0,49.88,505,124
416,,,,6.0,4.0,4.0,,504,100
417,,,,5.0,3.0,4.0,1.66,506,110
418,,,,8.0,3.0,4.0,58.23,504,125
419,,,,3.0,4.0,5.0,38.2,505,116
420,,,,6.0,1.0,5.0,49.72,511,144
421,,,,7.0,5.0,4.0,50.5,509,150
422,,,,8.0,3.0,3.0,46.58,506,127
423,,,,6.0,1.0,4.0,35.9,507,127
424,,,,6.0,4.0,3.0,,508,125
425,,,,6.0,3.0,5.0,0.16,511,108
426,,,,8.0,2.0,4.0,83.38,508,160
427,,,,6.0,2.0,5.0,12.72,510,125
428,,,,8.0,2.0,5.0,69.16,511,155
429,,,,6.0,1.0,7.0,,508,140
430,,,,6.0,3.0,6.0,,511,180
431,,,,8.0,4.0,3.0,23.09,504,107
432,,,,6.0,3.0,3.0,63.1,509,150
433,,,,8.0,2.0,3.0,87.13,508,160
434,,,,5.0,2.0,5.0,,505,N
435,,,,6.0,2.0,3.0,65.38,602,172
436,,,,7.0,3.0,4.0,27.75,508,128
437,,,,6.0,1.0,5.0,84.98,511,170
438,,,,6.0,3.0,4.0,75.24,600,165
439,,,,6.0,2.0,1.0,98.91,600,245
440,,,,1.0,3.0,3.0,70.7,504,128
441,,,,6.0,5.0,5.0,13.59,507,113
442,,,,6.0,1.0,3.0,75.86,603,190
443,,,,2.0,1.0,6.0,39.14,510,136
444,,,,6.0,3.0,2.0,52.09,506,135
445,,,,6.0,4.0,4.0,92.8,600,192
446,,,,6.0,1.0,5.0,,601,160
447,,,,8.0,4.0,2.0,67.17,504,130
448,,,,8.0,2.0,,44.12,603,152
449,,,,1.0,2.0,4.0,7.78,510,120
450,,,,8.0,3.0,4.0,73.88,510,155
451,,,,1.0,3.0,5.0,67.39,509,155
452,,,,6.0,3.0,3.0,75.84,506,150
453,,,,7.0,1.0,5.0,89.74,509,183
454,,,,6.0,3.0,4.0,,506,146
455,,,,4.0,2.0,3.0,79.5,505,143
456,,,,7.0,3.0,4.0,99.48,510,260
457,,,,6.0,2.0,5.0,36.21,506,120
458,,,,6.0,2.0,4.0,36.9,510,135
459,,,,1.0,2.0,4.0,55.79,508,145
460,,,,8.0,4.0,2.0,52.31,504,115
461,,,,8.0,2.0,4.0,17.1,600,133
462,,,,6.0,3.0,3.0,55.27,605,180
463,,,,8.0,3.0,2.0,,603,N
464,,,,1.0,3.0,3.0,84.69,602,185
465,,,,4.0,3.0,5.0,29.33,600,144
466,,,,8.0,2.0,1.0,99.52,606,325
467,,,,6.0,1.0,4.0,16.74,510,130
468,,,,4.0,4.0,2.0,95.58,504,170
469,,,,8.0,2.0,1.0,59.83,506,130
470,,,,6.0,2.0,5.0,12.36,507,120
471,,,,6.0,3.0,5.0,6.1,508,112
472,,,,6.0,3.0,5.0,15.55,510,125
473,,,,6.0,3.0,3.0,91.47,502,153
474,,,,8.0,1.0,5.0,98.42,510,220
475,,,,6.0,3.0,4.0,80.06,509,165
476,,,,4.0,2.0,5.0,45.15,601,160
477,,,,6.0,2.0,2.0,68.74,505,130
478,,,,6.0,2.0,,41.76,600,150
479,,,,8.0,3.0,5.0,78.26,510,165
480,,,,8.0,5.0,3.0,84.74,511,175
481,,,,5.0,3.0,2.0,70.34,602,170
482,,,,8.0,2.0,4.0,70.79,504,135
483,,,,6.0,4.0,3.0,,511,230
484,,,,,,,74.34,509,152
485,,,,6.0,3.0,2.0,54.41,507,135
486,,,,6.0,4.0,3.0,,511,N
487,,,,7.0,3.0,,95.79,600,215
488,,,,6.0,1.0,,36.01,600,152
489,,,,6.0,2.0,3.0,71.36,509,148
490,,,,8.0,2.0,4.0,80.84,500,125
491,,,,6.0,1.0,3.0,80.48,511,175
492,,,,,,2.0,44.17,510,152
493,,,,8.0,4.0,3.0,98.56,409,156
494,,,,8.0,3.0,5.0,76.17,503,125
495,,,,6.0,3.0,5.0,,505,N
496,,,,7.0,3.0,4.0,78.01,503,130
497,,,,6.0,2.0,5.0,9.05,502,90
498,,,,6.0,3.0,6.0,62.71,505,124
499,,,,6.0,2.0,4.0,19.94,506,109
500,,,Grade 10,2.0,2.0,5.0,73.31,508,160
501,,,,1.0,1.0,1.0,83.81,601,189
502,,,,7.0,1.0,4.0,92.38,511,200
503,,,,8.0,1.0,5.0,93.71,509,193
504,,,,8.0,1.0,5.0,69.13,511,170
505,,,,8.0,1.0,,97.5,503,190
506,,,,8.0,5.0,1.0,98.7,505,230
507,,,,6.0,1.0,7.0,97.19,507,216
508,,M,,6.0,1.0,5.0,43.26,506,135
509,,,,6.0,1.0,5.0,79.56,600,185
510,,,,2.0,1.0,5.0,,501,155
511,,,,7.0,3.0,5.0,47.36,603,170
512,,,,8.0,1.0,3.0,95.81,508,197
513,,,,1.0,1.0,4.0,99.36,502,250
514,,,,6.0,4.0,4.0,60.52,507,140
515,,,,6.0,2.0,4.0,46.34,507,127
516,,,,1.0,2.0,5.0,27.0,507,115
517,,,,6.0,3.0,3.0,63.89,501,110
518,,,,6.0,2.0,5.0,35.76,505,115
519,,,,6.0,4.0,2.0,22.82,503,103
520,,,,6.0,1.0,2.0,85.27,601,180
521,,,,7.0,4.0,4.0,80.06,508,150
522,,,,1.0,2.0,4.0,75.92,508,143
523,,,,4.0,1.0,5.0,,502,N
524,,,,5.0,5.0,5.0,,711,300
525,,,,5.0,2.0,5.0,51.74,511,145
526,,,,8.0,3.0,4.0,97.5,504,180
527,,,,,,,93.27,508,173
528,,,,4.0,3.0,,79.84,506,138
529,,,,1.0,3.0,5.0,47.79,501,106
530,,,,6.0,2.0,6.0,35.49,503,105
531,,,,5.0,,,92.6,509,175
532,,,,4.0,1.0,1.0,,704,150
533,,,,8.0,2.0,1.0,,507,135
534,,,,8.0,1.0,5.0,86.48,506,150
535,,,,8.0,1.0,3.0,97.18,507,190
536,,,,8.0,3.0,4.0,98.84,504,213
537,,,,5.0,1.0,5.0,,608,220
538,,,,,,,28.91,505,115
539,,,,7.0,3.0,4.0,99.55,510,265
540,,,,,,,,700,200
541,,,,8.0,3.0,3.0,,501,N
542,,,,8.0,4.0,4.0,,504,180
543,,,,1.0,4.0,5.0,69.87,506,140
544,,,,8.0,1.0,3.0,66.09,502,120
545,,,,6.0,3.0,4.0,90.69,502,145
546,,,,8.0,4.0,3.0,85.29,505,150
547,,,,6.0,3.0,5.0,99.34,602,280
548,,,,,1.0,7.0,,509,N
549,,,,6.0,3.0,4.0,84.68,502,135
550,,,,8.0,2.0,2.0,,N N,120
551,,,,,,,26.34,507,123
552,,,,5.0,3.0,,8.68,502,95
553,,,,8.0,,,73.24,502,129
554,,,,6.0,3.0,4.0,81.38,507,157
555,,,,,,,,504,N
556,,,,6.0,1.0,5.0,8.45,505,100
557,,,,4.0,3.0,5.0,20.55,508,125
558,,,,8.0,3.0,6.0,70.84,502,120
559,,,,8.0, always,4.0,41.64,508,135
560,,,,7.0,5.0,1.0,92.64,411,140
561,,,,,,,,500,N
562,,,,8.0,1.0,4.0,64.23,507,140
563,,,,8.0,3.0,5.0,37.44,411,98
564,,,,,,,36.47,507,130
565,,,,8.0,2.0,3.0,99.03,601,260
566,,,,7.0,2.0,3.0,34.04,506,115
567,,,,6.0,1.0,3.0,57.76,509,140
568,,,,6.0,3.0,5.0,96.87,510,220
569,,,,6.0,5.0,3.0,87.03,502,135
570,,,,6.0,1.0,4.0,54.37,601,165
571,,,,8.0,3.0,4.0,97.93,508,230
572,,,,,,,6.55,509,115
573,,,,6.0,2.0,4.0,89.79,505,150
574,,,,4.0,4.0,1.0,83.65,507,160
575,,,,7.0,2.0,3.0,23.69,602,149
576,,,,6.0,5.0,1.0,74.72,500,120
577,,,,1.0,1.0,6.0,,706,110
578,,,,8.0,2.0,,98.08,506,220
579,,,,5.0,1.0,3.0,,604,220
580,,,,6.0,3.0,2.0,89.0,604,215
